experiment_name,split,group_type,group_value,rows,log_mae,p95_abs_pct_error,p99_abs_pct_error,error_gt_20pct_rate
F35_prev3_rolling_huber_010,test,prev1_gap_bucket_plus,91-180,27498,0.07336996764324642,0.21616563043197842,0.35816234526745394,0.061349916357553276
F35_prev3_rolling_huber_010,test,prev1_gap_bucket_plus,missing_or_negative,1259,0.7400799253586812,1.2338847028873083,3.5283996738021037,0.8514694201747418
F35_prev3_rolling_huber_010,test,prev2_gap_bucket_plus,1-30,210613,0.05087966216359317,0.1548344320275612,0.2627926653009165,0.02465184960092682
F35_prev3_rolling_huber_010,test,prev2_gap_bucket_plus,181-365,29619,0.07354464025748064,0.21573753907333607,0.3822085491128164,0.061311995678449645
F35_prev3_rolling_huber_010,test,prev2_gap_bucket_plus,31-90,123464,0.05699409475385563,0.17270801628954266,0.28963834015958156,0.03268969092205015
F35_prev3_rolling_huber_010,test,prev2_gap_bucket_plus,366-730,12953,0.09163491466868295,0.2635156498380172,0.4682207271666514,0.10360534239172392
F35_prev3_rolling_huber_010,test,prev2_gap_bucket_plus,731+,10986,0.14034395825762025,0.38427960978535997,0.6754291013169806,0.22510467868195885
F35_prev3_rolling_huber_010,test,prev2_gap_bucket_plus,91-180,51663,0.06412329920512898,0.19131493886801865,0.3212213851705946,0.04475156301414939
F35_prev3_rolling_huber_010,test,prev2_gap_bucket_plus,missing_or_negative,2710,0.41750150095309213,0.8558540189602191,2.09739694929123,0.5195571955719557
F35_prev3_rolling_huber_010,test,wide_prev_jump_20_group,0,407525,0.05671026247247789,0.16743080587172954,0.3118773618441457,0.03208882890620207
F35_prev3_rolling_huber_010,test,wide_prev_jump_20_group,1,34483,0.11579917748397105,0.3090278639016441,0.5113963384084508,0.1595568831018183
F35_prev3_rolling_huber_010,test,exact_prev_jump_20_group,0,407642,0.056931059261710666,0.16854682067589644,0.3140636973071737,0.032663464510526395
F35_prev3_rolling_huber_010,test,exact_prev_jump_20_group,1,34366,0.11338130395489894,0.3030207811188048,0.5089902341379795,0.15317464936274225
F35_prev3_rolling_huber_010,test,exact_wide_gap_10_group,0,432309,0.06009904774285146,0.18186105548686937,0.33483714993565356,0.03945557460057505
F35_prev3_rolling_huber_010,test,exact_wide_gap_10_group,1,9699,0.11574322307577606,0.31401409125690466,0.5337611788670247,0.15692339416434684
F35_prev3_rolling_huber_010,test,region_prior_missing_group,0,442008,0.061320050205598824,0.18645635328190563,0.34272365478504807,0.042033175870119996
F35_prev3_rolling_huber_010,test,wide_region_outlier_20_group,0,156288,0.05881973765038459,0.16642889672534567,0.3469013637607879,0.032344133906633904
F35_prev3_rolling_huber_010,test,wide_region_outlier_20_group,1,285720,0.06268771382252908,0.19575366902978772,0.3414966036699879,0.04733305333893322
F35_prev3_rolling_huber_010,recent_holdout,exact_prev1_missing_group,0,208585,0.06256044454155207,0.1909758004288359,0.3390611149778414,0.04464846465469713
F35_prev3_rolling_huber_010,recent_holdout,exact_prev1_missing_group,1,883,0.5327755674147095,1.1479016961235282,6.82705825810954,0.6511891279728199
F35_prev3_rolling_huber_010,recent_holdout,wide_prev1_present_exact_missing_group,0,209121,0.06435512868053936,0.1944035766127515,0.3589482427091453,0.04672414535125597
F35_prev3_rolling_huber_010,recent_holdout,wide_prev1_present_exact_missing_group,1,347,0.17752820150937088,0.49743679214318476,0.820294943788042,0.3371757925072046
F35_prev3_rolling_huber_010,recent_holdout,exact_prev1_gap_bucket_plus,1-30,144144,0.05528440657422729,0.1672835286234164,0.28931307749209934,0.030934343434343436
